[2025-10-16T10:59:50.306Z] INFO: Request: GET /_next/static/chunks/vendor~17ede90a-238f7201a4a43716.js
[2025-10-16T10:59:50.321Z] INFO: Request: GET /_next/static/chunks/vendor~a5a4cb45-42228eb1c05dffe8.js
[2025-10-16T10:59:50.329Z] INFO: Request: GET /_next/static/chunks/vendor~b23b11a0-ac10051125a9b45a.js
[2025-10-16T10:59:50.346Z] INFO: Request: GET /_next/static/chunks/vendor~b0b4e7fe-7f54932da1d41fdf.js
[2025-10-16T10:59:50.388Z] INFO: Request: GET /_next/static/chunks/vendor~8cbd2506-650705e76d4dec0f.js
[2025-10-16T10:59:50.391Z] INFO: Request: GET /_next/static/chunks/vendor~377fed06-139a33f05b9f2e9c.js
[2025-10-16T10:59:50.406Z] INFO: Request: GET /_next/static/chunks/main-6df36445d7fc05d7.js
[2025-10-16T10:59:50.418Z] INFO: Request: GET /_next/static/chunks/redux-397d27fd2ccfd5ed.js
[2025-10-16T10:59:50.424Z] INFO: Request: GET /_next/static/chunks/pages/_app~f3956634-928cf70465df0c0a.js
[2025-10-16T10:59:50.446Z] INFO: Request: GET /_next/static/chunks/pages/_app~b2fa5551-e54a80cf21130275.js
[2025-10-16T10:59:50.456Z] INFO: Request: GET /_next/static/chunks/commons~f3956634-5ba46116d7905ec1.js
[2025-10-16T10:59:50.512Z] INFO: Request: GET /_next/static/chunks/commons~33575219-9f34e2550e059e76.js
[2025-10-16T10:59:50.526Z] INFO: Request: GET /_next/static/chunks/commons~2e3a7503-868dd8dd7bb39409.js
[2025-10-16T10:59:50.540Z] INFO: Request: GET /_next/static/chunks/commons~0392c408-09dd8b438a2427bc.js
[2025-10-16T10:59:50.545Z] INFO: Request: GET /_next/static/chunks/commons~8a1c583f-31b13c4eb136aa4e.js
[2025-10-16T10:59:50.547Z] INFO: Request: GET /_next/static/chunks/pages/index-532c3243b2183c5a.js
[2025-10-16T10:59:50.571Z] INFO: Request: GET /_next/static/YcZgO1yaOJIuKoCP75zU1/_buildManifest.js
[2025-10-16T10:59:50.593Z] INFO: Request: GET /_next/static/YcZgO1yaOJIuKoCP75zU1/_ssgManifest.js
[2025-10-16T10:59:51.925Z] INFO: Request: GET /images/logo.png
[2025-10-16T10:59:51.981Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T10:59:52.405Z] INFO: Request: GET /_next/static/chunks/3119.53a83b6a7b68e8b1.js
[2025-10-16T10:59:52.474Z] INFO: Request: GET /_next/static/chunks/750.1d1b152385c4a9d2.js
[2025-10-16T10:59:52.589Z] INFO: Request: GET /_next/static/chunks/fontawesome~ae1c6d6d.908a334b1c61bd3c.js
[2025-10-16T10:59:52.723Z] INFO: Request: GET /_next/static/chunks/fontawesome~46c58f3e.d2edf02a3da305e1.js
[2025-10-16T10:59:52.728Z] INFO: Request: GET /_next/static/chunks/fontawesome~1e1134d3.8a6998d5668d8ae8.js
[2025-10-16T10:59:52.731Z] INFO: Request: GET /_next/static/chunks/fontawesome~265aa8b7.48d081a6bf4d041e.js
[2025-10-16T10:59:52.739Z] INFO: Request: GET /_next/static/chunks/8884.a2dceb15136e2875.js
[2025-10-16T10:59:52.743Z] INFO: Request: GET /_next/image?url=%2Fimages%2Flogo.png&w=1200&q=75
[2025-10-16T10:59:53.155Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/index.json
[2025-10-16T10:59:53.178Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/login.json
[2025-10-16T10:59:53.193Z] INFO: Server:==> FROM MIDDLEWARE!!
[2025-10-16T10:59:53.194Z] INFO: Server:==> No auth found in cookies
[2025-10-16T10:59:53.231Z] INFO: Request: GET /_next/static/chunks/9629.e7dd93dc213033f9.js
[2025-10-16T10:59:53.240Z] INFO: Request: GET /_next/static/chunks/pages/login-0f541436a8fe986c.js
[2025-10-16T10:59:53.304Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T10:59:53.314Z] INFO: Request: GET /site.webmanifest
[2025-10-16T10:59:53.364Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T10:59:53.408Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T11:00:38.760Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T11:09:02.805Z] INFO: Request: GET /
[2025-10-16T11:09:07.352Z] INFO: Request: GET /.well-known/appspecific/com.chrome.devtools.json
[2025-10-16T11:09:10.758Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T11:09:11.155Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/index.json
[2025-10-16T11:09:11.346Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/login.json
[2025-10-16T11:09:11.393Z] INFO: Server:==> FROM MIDDLEWARE!!
[2025-10-16T11:09:11.394Z] INFO: Server:==> No auth found in cookies
[2025-10-16T11:09:11.414Z] INFO: Request: GET /site.webmanifest
[2025-10-16T11:09:11.503Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T11:09:27.218Z] INFO: Request: GET /
[2025-10-16T11:09:27.692Z] INFO: Request: GET /.well-known/appspecific/com.chrome.devtools.json
[2025-10-16T11:09:30.800Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T11:09:31.875Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T11:09:31.988Z] INFO: Request: GET /site.webmanifest
[2025-10-16T11:09:32.021Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/login.json
[2025-10-16T11:09:32.044Z] INFO: Server:==> FROM MIDDLEWARE!!
[2025-10-16T11:09:32.049Z] INFO: Server:==> No auth found in cookies
[2025-10-16T11:09:32.085Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/index.json
[2025-10-16T11:09:32.358Z] INFO: Request: GET /icon-192x192.png
